,ST_ABBR,COUNTY,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,geometry
22,IL,Cook,17031020802,0.9765,0.8333,0.8143,0.7121,7.9,16.5,33.6,2.7,"POLYGON ((-87.69964199999998 41.997561000000076, -87.69720499999994 41.99760200000003, -87.69476499999996 41.99764600000003, -87.69354299999998 41.99766800000003, -87.68988299999995 41.99773000000005, -87.68982399999999 41.995911000000035, -87.68976399999997 41.99409300000008, -87.68970499999995 41.99227300000007, -87.68967299999997 41.990500000000054, -87.69209899999998 41.99048400000004, -87.69453399999998 41.99047100000007, -87.69818099999998 41.99045000000007, -87.69940299999996 41.99044300000003, -87.69951599999996 41.99397800000003, -87.69964199999998 41.997561000000076))"
23,IL,Cook,17031020901,0.8819,0.4255,0.8282,0.8443,20.3,22.8,27.8,0.0,"POLYGON ((-87.68988299999995 41.99773000000005, -87.68622899999997 41.997794000000056, -87.68379499999998 41.99783200000007, -87.68257299999999 41.997854000000075, -87.68238899999994 41.994219000000044, -87.68170499999997 41.99423100000007, -87.68236399999995 41.99338300000005, -87.68169899999998 41.991855000000044, -87.68352899999996 41.99183400000004, -87.68352399999998 41.99060900000006, -87.68720599999995 41.99054200000006, -87.68967299999997 41.990500000000054, -87.68970499999995 41.99227300000007, -87.68976399999997 41.99409300000008, -87.68982399999999 41.995911000000035, -87.68988299999995 41.99773000000005))"
24,IL,Cook,17031020902,0.8871,0.9369,0.7551,0.9972,17.8,17.2,26.3,0.0,"POLYGON ((-87.68352899999996 41.99183400000004, -87.68169899999998 41.991855000000044, -87.68236399999995 41.99338300000005, -87.68170499999997 41.99423100000007, -87.68238899999994 41.994219000000044, -87.68257299999999 41.997854000000075, -87.68013599999995 41.99789500000003, -87.67864699999996 41.997926000000064, -87.67683699999998 41.99795900000004, -87.67520699999994 41.997989000000075, -87.67501199999998 41.997993000000065, -87.67489499999994 41.994354000000044, -87.67470499999996 41.99076300000007, -87.67504399999996 41.99075800000003, -87.67842199999996 41.99069700000007, -87.67982799999999 41.99067500000007, -87.68352399999998 41.99060900000006, -87.68352899999996 41.99183400000004))"
25,IL,Cook,17031030101,0.8762,0.3495,0.7593,0.9382,26.4,16.1,18.3,0.0,"POLYGON ((-87.66033899999996 41.992286000000036, -87.65828499999998 41.99231700000007, -87.65759799999995 41.99277300000006, -87.65758399999999 41.992327000000046, -87.65618599999999 41.99234800000005, -87.65545699999996 41.99235900000008, -87.65459382799997 41.99237110200005, -87.65451491899995 41.99192310800004, -87.65436750299995 41.99108616700005, -87.65421692099994 41.99023125300005, -87.65421162399997 41.99020118300007, -87.65420164599999 41.99014453400008, -87.65538599999996 41.990106000000026, -87.65611199999995 41.990094000000056, -87.65751299999994 41.99006900000006, -87.66026599999998 41.99000200000006, -87.66032299999995 41.99182300000007, -87.66033899999996 41.992286000000036))"
26,IL,Cook,17031030102,0.7905,0.3311,0.7267,0.9388,15.1,11.7,25.9,0.0,"POLYGON ((-87.66040599999997 41.99455300000005, -87.65764999999999 41.99458600000003, -87.65695299999999 41.994593000000066, -87.65625499999999 41.99460000000005, -87.65552499999995 41.99459800000005, -87.65498495199995 41.994591669000044, -87.65492774999996 41.99426690800004, -87.65491061499995 41.99416962600003, -87.65477448699994 41.993396774000075, -87.65467120299996 41.99281039400006, -87.65459382799997 41.99237110200005, -87.65545699999996 41.99235900000008, -87.65618599999999 41.99234800000005, -87.65758399999999 41.992327000000046, -87.65759799999995 41.99277300000006, -87.65828499999998 41.99231700000007, -87.66033899999996 41.992286000000036, -87.66040599999997 41.99455300000005))"
27,IL,Cook,17031030103,0.5251,0.0189,0.6636,0.7853,23.0,10.4,13.7,0.4,"POLYGON ((-87.66045899999995 41.99637400000006, -87.65840899999995 41.99639300000007, -87.65767699999998 41.99544100000003, -87.65697799999998 41.995449000000065, -87.65700899999996 41.99640800000003, -87.65558099999998 41.99642400000005, -87.65531591799999 41.99647069100007, -87.65530821099998 41.996426935000045, -87.65498495199995 41.994591669000044, -87.65552499999995 41.99459800000005, -87.65625499999999 41.99460000000005, -87.65695299999999 41.994593000000066, -87.65764999999999 41.99458600000003, -87.66040599999997 41.99455300000005, -87.66045899999995 41.99637400000006))"
28,IL,Cook,17031030104,0.7943,0.1544,0.6223,0.975,8.6,8.5,25.5,0.3,"POLYGON ((-87.66055299999994 41.998189000000025, -87.65934699999997 41.998203000000046, -87.65706299999994 41.99822800000004, -87.65562614999999 41.99823200000003, -87.65531591799999 41.99647069100007, -87.65558099999998 41.99642400000005, -87.65700899999996 41.99640800000003, -87.65697799999998 41.995449000000065, -87.65767699999998 41.99544100000003, -87.65840899999995 41.99639300000007, -87.66045899999995 41.99637400000006, -87.66055299999994 41.998189000000025))"
29,IL,Cook,17031030200,0.4822,0.0068,0.5156,0.7044,4.0,22.1,3.2,0.0,"POLYGON ((-87.67062299999998 41.99807500000003, -87.66796199999999 41.998109000000056, -87.66543599999994 41.998136000000045, -87.66307099999995 41.99816100000004, -87.66302899999994 41.998162000000036, -87.66055299999994 41.998189000000025, -87.66045899999995 41.99637400000006, -87.66040599999997 41.99455300000005, -87.66033899999996 41.992286000000036, -87.66032299999995 41.99182300000007, -87.66026599999998 41.99000200000006, -87.66155099999997 41.98997700000007, -87.66157599999997 41.99090400000006, -87.66516499999994 41.990856000000065, -87.67002799999995 41.99079800000004, -87.67013099999997 41.99350100000004, -87.67015099999998 41.994440000000054, -87.67019399999998 41.99565400000006, -87.67038399999996 41.99722200000008, -87.67062299999998 41.99807500000003))"
30,IL,Cook,17031030300,0.8388,0.3939,0.7587,0.6561,17.6,28.0,13.7,0.5,"POLYGON ((-87.67501199999998 41.997993000000065, -87.67130999999995 41.998065000000054, -87.67062299999998 41.99807500000003, -87.67038399999996 41.99722200000008, -87.67019399999998 41.99565400000006, -87.67015099999998 41.994440000000054, -87.67013099999997 41.99350100000004, -87.67002799999995 41.99079800000004, -87.67214499999994 41.99078100000003, -87.67470499999996 41.99076300000007, -87.67489499999994 41.994354000000044, -87.67501199999998 41.997993000000065))"
31,IL,Cook,17031030400,0.6192,0.0815,0.6507,0.6283,3.7,33.1,3.4,0.9,"POLYGON ((-87.67470499999996 41.99076300000007, -87.67214499999994 41.99078100000003, -87.67002799999995 41.99079800000004, -87.66973099999996 41.98764100000005, -87.66961299999997 41.98713800000007, -87.66941099999997 41.986282000000074, -87.66896399999996 41.98445000000004, -87.66875699999997 41.983490000000074, -87.67044099999998 41.98346500000008, -87.67460899999998 41.98335700000007, -87.67463299999997 41.98421700000006, -87.67469099999994 41.98660400000006, -87.67465299999998 41.98668200000003, -87.67470499999996 41.99076300000007))"
32,IL,Cook,17031030500,0.2675,0.0986,0.5743,0.7695,5.1,19.8,6.8,0.0,"POLYGON ((-87.67002799999995 41.99079800000004, -87.66516499999994 41.990856000000065, -87.66157599999997 41.99090400000006, -87.66155099999997 41.98997700000007, -87.66026599999998 41.99000200000006, -87.66018099999997 41.98727000000008, -87.66016999999994 41.98695100000003, -87.66012599999999 41.98546200000004, -87.66006899999996 41.983622000000025, -87.66355099999998 41.98357000000004, -87.66495599999996 41.98354800000004, -87.66875699999997 41.983490000000074, -87.66896399999996 41.98445000000004, -87.66941099999997 41.986282000000074, -87.66961299999997 41.98713800000007, -87.66973099999996 41.98764100000005, -87.67002799999995 41.99079800000004))"
33,IL,Cook,17031030601,0.7819,0.5621,0.7556,0.9785,24.1,12.1,22.3,0.0,"POLYGON ((-87.66026599999998 41.99000200000006, -87.65751299999994 41.99006900000006, -87.65611199999995 41.990094000000056, -87.65538599999996 41.990106000000026, -87.65420164599999 41.99014453400008, -87.65399599999995 41.988977000000034, -87.65396045899996 41.98888609100004, -87.65364557999999 41.98808068200003, -87.65433999999999 41.98808400000007, -87.65532499999995 41.98809300000005, -87.65530299999995 41.98735700000003, -87.65603099999998 41.987344000000064, -87.65672999999998 41.98733100000004, -87.65742799999998 41.98731900000007, -87.66018099999997 41.98727000000008, -87.66026599999998 41.99000200000006))"
34,IL,Cook,17031030603,0.7144,0.1512,0.7021,0.7225,21.4,17.5,11.8,0.0,"POLYGON ((-87.66018099999997 41.98727000000008, -87.65742799999998 41.98731900000007, -87.65672999999998 41.98733100000004, -87.65667199999996 41.98550700000004, -87.65660899999995 41.98368300000004, -87.65731599999998 41.983670000000075, -87.66006899999996 41.983622000000025, -87.66012599999999 41.98546200000004, -87.66016999999994 41.98695100000003, -87.66018099999997 41.98727000000008))"
35,IL,Cook,17031030604,0.4999,0.2899,0.6661,0.8607,21.3,7.1,16.2,0.0,"POLYGON ((-87.65672999999998 41.98733100000004, -87.65603099999998 41.987344000000064, -87.65530299999995 41.98735700000003, -87.65532499999995 41.98809300000005, -87.65433999999999 41.98808400000007, -87.65364557999999 41.98808068200003, -87.65274296299998 41.98577193500006, -87.65214163099995 41.98423382300007, -87.65445999999997 41.98384200000004, -87.65519199999994 41.983802000000026, -87.65591499999994 41.983692000000076, -87.65660899999995 41.98368300000004, -87.65667199999996 41.98550700000004, -87.65672999999998 41.98733100000004))"
36,IL,Cook,17031030701,0.7772,0.1772,0.7209,0.9639,32.9,8.4,14.1,0.0,"POLYGON ((-87.66006899999996 41.983622000000025, -87.65731599999998 41.983670000000075, -87.65660899999995 41.98368300000004, -87.65591499999994 41.983692000000076, -87.65586399999995 41.98186700000008, -87.65656599999994 41.98185600000005, -87.65726599999994 41.981843000000026, -87.66001799999998 41.981798000000026, -87.66006899999996 41.983622000000025))"
37,IL,Cook,17031030702,0.6545,0.4999,0.6531,0.7389,1.2,10.5,32.8,0.0,"POLYGON ((-87.65513999999996 41.98187900000005, -87.65436799999998 41.98188900000008, -87.65394199999997 41.98075000000006, -87.65406199999995 41.97982500000006, -87.65507899999994 41.979801000000066, -87.65508799999998 41.98005100000006, -87.65510599999999 41.980725000000064, -87.65512499999994 41.981367000000034, -87.65513999999996 41.98187900000005))"
38,IL,Cook,17031030703,0.756,0.7139,0.6148,0.6794,14.9,20.8,4.8,0.0,"POLYGON ((-87.66001799999998 41.981798000000026, -87.65726599999994 41.981843000000026, -87.65721699999995 41.98001500000004, -87.65581599999996 41.98003900000003, -87.65508799999998 41.98005100000006, -87.65507899999994 41.979801000000066, -87.65507199999996 41.97959300000008, -87.65503299999995 41.97856400000006, -87.65503199999995 41.97822300000007, -87.65576399999998 41.978211000000044, -87.65571299999993 41.97638500000005, -87.65641599999998 41.97637400000008, -87.65878499999997 41.976338000000055, -87.65986599999997 41.976323000000036, -87.65991799999995 41.97814400000004, -87.65996799999994 41.979971000000035, -87.66001799999998 41.981798000000026))"
