,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,LPA_CrudePrev,SLEEP_CrudePrev,Geolocation
534,IL,Illinois,Cook,17031,17031160900,15.9,10.3,14.2,19.3,30.1,POINT (-87.72256181 41.95009018)
535,IL,Illinois,Cook,17031,17031843000,9.2,27.6,16.5,45.8,47.0,POINT (-87.72267535 41.86793826)
536,IL,Illinois,Cook,17031,17031828202,13.8,13.3,14.9,23.8,34.4,POINT (-87.56584599 41.56106727)
537,IL,Illinois,Cook,17031,17031813802,14.3,17.7,15.4,39.2,35.6,POINT (-87.75395539 41.84796967)
538,IL,Illinois,Cook,17031,17031839200,10.4,14.1,13.1,28.6,38.5,POINT (-87.62204108 41.84202424)
539,IL,Illinois,Cook,17031,17031804714,16.0,12.5,15.4,20.1,31.5,POINT (-88.09479924 42.06313343)
540,IL,Illinois,Cook,17031,17031151002,15.4,16.1,15.9,30.3,33.5,POINT (-87.74713779 41.9425099)
541,IL,Illinois,Cook,17031,17031411100,15.2,8.5,14.3,16.9,28.7,POINT (-87.58969543 41.79043468)
542,IL,Illinois,Cook,17031,17031490500,10.7,13.4,13.1,29.0,40.1,POINT (-87.61320858 41.71793092)
543,IL,Illinois,Cook,17031,17031380100,8.9,21.7,14.8,38.7,43.4,POINT (-87.61009731 41.82020714)
544,IL,Illinois,Cook,17031,17031830300,11.8,14.6,14.6,27.5,37.5,POINT (-87.68104929 41.48386445)
545,IL,Illinois,Cook,17031,17031250500,13.7,12.4,14.0,23.7,33.5,POINT (-87.79675434 41.91457414)
546,IL,Illinois,Cook,17031,17031831600,13.9,15.8,15.3,33.0,33.9,POINT (-87.79760276 41.92559578)
547,IL,Illinois,Cook,17031,17031813000,15.4,8.9,14.0,15.8,30.6,POINT (-87.78062882 41.87637627)
548,IL,Illinois,Cook,17031,17031040100,16.4,10.8,14.7,18.8,30.4,POINT (-87.68197137 41.9833221)
549,IL,Illinois,Cook,17031,17031252202,9.6,27.4,16.4,44.0,46.9,POINT (-87.74451779 41.87673858)
550,IL,Illinois,Cook,17031,17031841400,12.3,18.8,14.4,32.0,44.0,POINT (-87.71437217 41.8533364)
551,IL,Illinois,Cook,17031,17031800100,13.9,6.2,13.3,13.5,25.2,POINT (-87.75467701 42.13802127)
552,IL,Illinois,Cook,17031,17031010201,13.9,20.5,16.3,32.2,38.7,POINT (-87.68016796 42.01604021)
553,IL,Illinois,Cook,17031,17031440800,9.2,23.9,15.6,41.3,46.1,POINT (-87.60327836 41.73186144)
554,IL,Illinois,Cook,17031,17031301100,14.4,17.5,15.7,39.0,35.2,POINT (-87.69795546 41.84705288)
555,IL,Illinois,Cook,17031,17031390500,12.5,10.7,13.5,21.5,36.3,POINT (-87.59917969 41.80599973)
556,IL,Illinois,Cook,17031,17031210800,17.8,11.5,14.3,23.9,31.2,POINT (-87.6989356 41.93575629)
557,IL,Illinois,Cook,17031,17031390300,9.1,20.3,14.5,37.8,43.6,POINT (-87.6041999 41.81323292)
558,IL,Illinois,Cook,17031,17031826600,11.0,20.9,15.1,34.8,44.6,POINT (-87.62297029 41.63634631)
559,IL,Illinois,Cook,17031,17031242500,17.6,12.5,16.0,20.9,31.0,POINT (-87.68934127 41.89944553)
560,IL,Illinois,Cook,17031,17031600900,13.9,13.4,13.6,26.6,33.1,POINT (-87.653149 41.83652668)
561,IL,Illinois,Cook,17031,17031838600,10.1,32.5,17.6,49.3,48.2,POINT (-87.70083359 41.86784312)
562,IL,Illinois,Cook,17031,17031070500,19.2,7.9,14.7,14.1,26.8,POINT (-87.6608805 41.92896436)
563,IL,Illinois,Cook,17031,17031805002,14.1,14.9,15.1,26.2,32.5,POINT (-87.95083862 42.04234285)
564,IL,Illinois,Cook,17031,17031520400,13.7,14.9,14.7,34.9,33.3,POINT (-87.53072837 41.70299277)
565,IL,Illinois,Cook,17031,17031570400,15.1,15.6,15.2,33.2,33.7,POINT (-87.71904093 41.80498479)
566,IL,Illinois,Cook,17031,17031835000,11.7,23.0,15.4,41.3,43.0,POINT (-87.68620237 41.78286651)
567,IL,Illinois,Cook,17031,17031818800,16.6,10.1,15.2,16.8,28.9,POINT (-87.85439228 41.82712322)
568,IL,Illinois,Cook,17031,17031640700,14.9,16.8,16.3,30.9,33.8,POINT (-87.75191979 41.77641847)
569,IL,Illinois,Cook,17031,17031818200,14.1,12.1,14.3,22.2,33.0,POINT (-87.87512708 41.86349713)
570,IL,Illinois,Cook,17031,17031100400,15.0,11.9,15.4,20.1,29.6,POINT (-87.8180045 41.98898052)
571,IL,Illinois,Cook,17031,17031842400,9.8,16.6,13.0,33.3,42.2,POINT (-87.63001802 41.74247749)
572,IL,Illinois,Cook,17031,17031242400,19.0,9.6,16.1,15.1,28.6,POINT (-87.68451021 41.89947499)
573,IL,Illinois,Cook,17031,17031800300,14.3,6.5,13.3,13.7,25.6,POINT (-87.75540934 42.11315876)
574,IL,Illinois,Cook,17031,17031808001,10.9,9.6,12.3,22.8,28.6,POINT (-87.73543802 42.00696803)
575,IL,Illinois,Cook,17031,17031817500,11.3,18.8,14.0,35.3,42.1,POINT (-87.8358182 41.8802938)
576,IL,Illinois,Cook,17031,17031824400,11.2,18.4,15.5,35.0,36.8,POINT (-87.72623104 41.63997934)
577,IL,Illinois,Cook,17031,17031320400,20.7,7.0,17.5,13.7,28.4,POINT (-87.62197739 41.87746339)
578,IL,Illinois,Cook,17031,17031560300,13.8,16.7,15.6,34.1,33.9,POINT (-87.74797189 41.80390257)
579,IL,Illinois,Cook,17031,17031802402,12.5,13.0,14.3,27.4,30.5,POINT (-87.90954559 42.14642263)
580,IL,Illinois,Cook,17031,17031010502,16.7,14.8,16.9,22.3,34.8,POINT (-87.66328199 42.00446675)
581,IL,Illinois,Cook,17031,17031140301,13.6,16.5,13.8,33.0,35.1,POINT (-87.72315136 41.96923315)
582,IL,Illinois,Cook,17031,17031809300,15.1,12.3,16.8,23.5,31.5,POINT (-87.68651684 42.05795437)
583,IL,Illinois,Cook,17031,17031431200,10.5,13.5,12.5,27.6,40.5,POINT (-87.57118542 41.7552967)
584,IL,Illinois,Cook,17031,17031062200,22.4,7.6,16.2,11.0,27.7,POINT (-87.65661768 41.94258849)
585,IL,Illinois,Cook,17031,17031810702,14.8,14.8,16.5,25.8,31.8,POINT (-87.81591573 41.92526002)
586,IL,Illinois,Cook,17031,17031820103,14.8,13.6,15.8,23.3,30.8,POINT (-87.87310904 41.79450624)
587,IL,Illinois,Cook,17031,17031805105,15.4,16.8,16.1,29.5,33.3,POINT (-88.01523956 42.05967417)
588,IL,Illinois,Cook,17031,17031750600,10.1,16.6,13.2,32.8,42.5,POINT (-87.65206615 41.68862752)
589,IL,Illinois,Cook,17031,17031828701,13.3,13.7,14.6,24.4,36.6,POINT (-87.62528216 41.54313774)
590,IL,Illinois,Cook,17031,17031071700,17.8,8.0,14.9,13.4,28.5,POINT (-87.64105605 41.91288503)
591,IL,Illinois,Cook,17031,17031805701,14.4,8.8,14.5,16.6,27.1,POINT (-87.85091958 42.00299084)
592,IL,Illinois,Cook,17031,17031816800,13.4,14.6,14.2,27.9,34.8,POINT (-87.9118745 41.89146838)
593,IL,Illinois,Cook,17031,17031825303,16.7,14.2,16.7,21.7,31.3,POINT (-87.78582008 41.58167025)
594,IL,Illinois,Cook,17031,17031811600,15.9,17.7,17.1,27.5,33.5,POINT (-87.87217551 41.95121979)
595,IL,Illinois,Cook,17031,17031170900,14.9,17.0,16.7,28.1,32.8,POINT (-87.81147327 41.93618391)
596,IL,Illinois,Cook,17031,17031200300,14.7,15.0,15.0,34.6,34.2,POINT (-87.7340805 41.92350988)
597,IL,Illinois,Cook,17031,17031540102,9.3,27.7,17.8,44.6,48.1,POINT (-87.60535349 41.66729962)
598,IL,Illinois,Cook,17031,17031841900,17.7,10.8,15.7,17.7,32.6,POINT (-87.64282793 41.86786434)
599,IL,Illinois,Cook,17031,17031650302,14.6,17.1,15.6,37.1,34.9,POINT (-87.71772751 41.77508712)
600,IL,Illinois,Cook,17031,17031810501,13.2,12.3,15.2,24.0,28.9,POINT (-87.82597152 41.96027451)
601,IL,Illinois,Cook,17031,17031730100,9.3,14.8,12.6,31.9,41.0,POINT (-87.63848248 41.72521843)
602,IL,Illinois,Cook,17031,17031813302,15.0,17.9,15.6,38.3,36.3,POINT (-87.74453011 41.86226196)
603,IL,Illinois,Cook,17031,17031660900,10.8,23.8,15.8,39.5,45.1,POINT (-87.69798955 41.76810313)
604,IL,Illinois,Cook,17031,17031612100,10.2,23.0,14.8,39.7,44.5,POINT (-87.64766937 41.79794926)
605,IL,Illinois,Cook,17031,17031824601,16.4,15.0,16.9,22.2,32.0,POINT (-87.74494586 41.62867882)
606,IL,Illinois,Cook,17031,17031822000,15.3,17.2,18.0,26.3,32.5,POINT (-87.73110015 41.7312574)
607,IL,Illinois,Cook,17031,17031251400,10.6,18.9,14.0,33.6,42.7,POINT (-87.77010613 41.89100485)
608,IL,Illinois,Cook,17031,17031814200,15.4,15.8,15.3,35.2,34.7,POINT (-87.74554204 41.83563109)
609,IL,Illinois,Cook,17031,17031310700,15.8,13.3,14.0,30.7,32.3,POINT (-87.66488302 41.85603182)
610,IL,Illinois,Cook,17031,17031805401,13.4,12.9,15.0,23.9,29.8,POINT (-87.8259561 42.03309107)
611,IL,Illinois,Cook,17031,17031030703,13.3,14.2,14.8,25.4,32.9,POINT (-87.6578452 41.97878969)
612,IL,Illinois,Cook,17031,17031815800,13.4,10.6,14.6,21.0,28.2,POINT (-87.83692096 41.83161215)
613,IL,Illinois,Cook,17031,17031271400,10.6,24.0,15.6,38.6,45.7,POINT (-87.71334517 41.87725516)
614,IL,Illinois,Cook,17031,17031834400,11.8,15.6,13.9,27.2,41.6,POINT (-87.59628809 41.7769445)
615,IL,Illinois,Cook,17031,17031680600,10.2,26.6,16.1,42.9,46.5,POINT (-87.65218228 41.78329739)
616,IL,Illinois,Cook,17031,17031050300,17.5,9.7,15.0,16.2,29.3,POINT (-87.69156954 41.95765569)
